cve_entidad	desc_entidad	cve_municipio	desc_municipio	id_indicador	indicador	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2005/t1	2005/t2	2005/t3	2005/t4	2006	2006/t1	2006/t2	2006/t3	2006/t4	2007	2007/t1	2007/t2	2007/t3	2007/t4	2008	2008/t1	2008/t2	2008/t3	2008/t4	2009	2009/t1	2009/t2	2009/t3	2009/t4	2010	2010/t1	2010/t2	2010/t3	2010/t4	2011	2011/t1	2011/t2	2011/t3	2011/t4	2012	2012/t1	2012/t2	2012/t3	2012/t4	2013	2013/t1	2013/t2	2013/t3	2013/t4	2014	2014/t1	2014/t2	2014/t3	2014/t4	2015	2015/t1	2015/t2	2015/t3	2015/t4	2016	2016/t1	2016/t2	2016/t3	2016/t4	2017	2017/t1	2017/t2	2017/t3	2017/t4	2018	2018/t1	2018/t2	2018/t3	2018/t4	2019	2019/t1	2019/t2	2019/t3	2019/t4	2020	2020/t1	2020/t3	2020/t4	2021	2021/t1	2021/t2	2021/t3	2021/t4	2022	2022/t1	2022/t2	2022/t3	2022/t4	2023	2023/t1	2023/t2	2023/t3	2023/t4	2024/t1	2024/t2	2024/t3	2024/t4	2025/t1	unidad_medida
09	Ciudad de México	0	Estatal	1007000012	Conflictos de trabajo	26429	29850	25974	24506	23978	23501	22687	25314	23570	26609	26299	26946					25684					27957					28026					30113					28681					26453					25473					25996					29736					25428					31696					32421					33842					33752					14076				31825					33572					15394										Conflictos
09	Ciudad de México	0	Estatal	1007000013	Conflictos de trabajo solucionados	9231	9844	10613	14758	14013	12022	10575	10190	10220	12219	13753	15219					15009					13287					10271					9883					13749					13535					12831					13592					13240					13145					16367					19311					23023					23826					3699				8998					26229					25765										Conflictos
09	Ciudad de México	0	Estatal	1007000014	Huelgas estalladas	121	143	114	61	43	21	19	19	16	41	35	33					28					27					24					18					22					18					13					18					21					41					31					10					6					7					0				1					2					1										Conflictos
09	Ciudad de México	0	Estatal	1007000015	Huelgas solucionadas	77	44	39	55	54	68	22	16	55	29	14	32					20					30					26					45					28					15					32					27					2					26					23					32					21					16					4				2					2					9										Conflictos
09	Ciudad de México	0	Estatal	5000000002	Personal ocupado total. Universo total					2929913					3779560																	4141735																																																							4950851																													Número de personas
09	Ciudad de México	0	Estatal	5300000011	Personal ocupado total. Sector privado y paraestatal					2861972					2842874																	3299325																																																		4297134																																		Número de personas
09	Ciudad de México	0	Estatal	5300000012	Personal ocupado total. Gran sector 43-46. Comercio					655236					713775																	758632																																																																																				Número de personas
09	Ciudad de México	0	Estatal	5300000013	"Personal ocupado total. Gran sector 51 ,53 ,54 ,55, 56, 61, 62, 71, 72 y 81. Servicios privados no financieros"					1054365					1175847																	1456170																																																		2244370																																		Número de personas
09	Ciudad de México	0	Estatal	5300000014	Personal ocupado total. Sector 11. Pesca y acuicultura					328																																																																								102																																		Número de personas
09	Ciudad de México	0	Estatal	5300000015	Personal ocupado total. Sector 21. Minería					2990					9094																	5177																																																		7947																																		Número de personas
09	Ciudad de México	0	Estatal	5300000016	"Personal ocupado total. Sector 22. Electricidad, agua y gas"					43250					45484																	32493																																																		86137																																		Número de personas
